order,rob_size,lq_size,sq_size,p_width,energy,performance,time,energy_baseline,performance_baseline,area,area_baseline,int_regs,float_regs,vec_regs
934719279591041,512,256,4,4,10.204290603876842,0.9654110463265,336.79,8.158372554009865,0.76152147172878,12.096820774079998,12.148874153203998,92,161,102
934719279591041,64,256,16,7,11.82230093896935,1.0765801079459998,332.84000000000003,9.59883408175851,0.86492126394152,12.780950575679999,12.835947808283999,67,152,159
934719279591041,256,128,128,7,5.835601500325871,0.4827255307758999,330.06,4.6619232133643225,0.37174963789326,13.159152578879999,13.215777238444002,238,226,77
934719279591041,128,256,64,8,10.400458540035844,0.9136990524249999,334.24,8.089623734151962,0.69801732527382,13.2727121856,13.329825499280002,87,235,178
934719279591041,16,256,128,5,15.061319429414352,1.4396971415520001,346.56,12.867733637216467,1.22404155634666,12.21948891072,12.272070138536,102,93,99
934719279591041,128,4,256,6,10.263923607684324,0.9414246844908,334.84,8.038274872342676,0.7260534062265801,12.51848630592,12.572354138296001,118,115,96
934719279591041,32,256,128,4,11.557699379956116,1.112234042194,333.74,9.372623004983865,0.8941579592800599,12.01474499904,12.066445200952002,147,89,209
934719279591041,128,4,64,4,10.144652233389845,0.9717165338820998,335.45,8.141833856853637,0.7710263995486399,11.9762317584,12.02776623542,141,123,252
934719279591041,16,128,256,9,15.978687684744745,1.4076937414282,344.77,13.633809147976853,1.1929399165774799,13.778037584639996,13.837325345232,195,248,209
934719279591041,256,64,128,11,6.6023710383207455,0.5045884197417999,331.24,5.41116273379933,0.39957255575682005,14.792747618879998,14.856401740443998,161,216,241
935493941648382,256,256,128,7,5.8505558483176,0.4827255307758999,334.88,4.674230303533881,0.37174963789326,13.263504649919998,13.320578342995999,238,256,84
935493941648382,32,128,128,5,11.73615192544005,1.1117237365892998,342.78000000000003,9.555799808350782,0.8971022051645798,12.23889403968,12.291558768984,82,175,166
935493941648382,256,16,16,6,6.132082474223754,0.5307324900367,333.78,5.038534202417624,0.42535477921493997,12.68184580992,12.736416588495999,213,183,252
935493941648382,256,256,16,5,6.269386766821681,0.5549684555037,335.74,5.2150165914439395,0.4521626430952199,12.465716235839999,12.519356995291998,209,256,143
935493941648382,256,4,128,6,13.601902299548126,1.2658626726939,343.14,11.37908985943729,1.0509690967189,12.6118487376,12.66611831438,57,254,55
935493941648382,128,128,128,10,9.104289274193585,0.7482247520234,335.4699999999999,6.710343921322048,0.5322127093848199,14.16534811776,14.226302499888,135,242,250
935493941648382,256,128,256,4,7.129201839074259,0.6547259401367,337.2,6.170363329809609,0.55970172504876,12.134739980159999,12.186956528008,163,252,65
935493941648382,128,128,256,4,7.157013023601611,0.6600692599008,337.47,6.159150642305521,0.5611259791160799,12.138799216319999,12.191033231315998,201,256,132
