order,rob_size,lq_size,sq_size,p_width,energy,performance,time,energy_baseline,performance_baseline
687844303382837,128,16,16,6,5.1940008946638905,0.4440301428684,650.4099999999999,5.1940008946638905,0.4440301428684
687844303382837,512,64,64,7,4.715137523045043,0.3717589915767,653.0400000000001,4.715137523045043,0.3717589915767
687844303382837,32,64,256,5,9.633890815348737,0.8971052321529599,691.24,9.633890815348737,0.8971052321529599
687844303382837,512,256,4,8,4.952969055422352,0.38053019503636,652.48,4.952969055422352,0.38053019503636
687844303382837,16,256,64,8,13.382317119299362,1.19267672149618,685.8,13.382317119299362,1.19267672149618
687844303382837,256,16,64,5,5.203954333252408,0.45187186761636,655.1099999999999,5.203954333252408,0.45187186761636
687844303382837,256,256,64,7,4.670289556337737,0.3717664432814,647.7700000000001,4.670289556337737,0.3717664432814
687844303382837,128,16,256,4,6.155474600398254,0.56113547200964,659.9100000000001,6.155474600398254,0.56113547200964
687844303382837,256,128,128,12,5.489312902728337,0.38881977828695996,653.9399999999998,5.489312902728337,0.38881977828695996
687844303382837,128,64,128,6,5.210807850406192,0.4437446969322,648.41,5.210807850406192,0.4437446969322
688400789632493,256,256,4,7,4.672873265503648,0.37264493449302,665.4100000000001,4.672873265503648,0.37264493449302
688400789632493,128,256,4,7,5.012687746867545,0.41189573506468,660.8299999999999,5.012687746867545,0.41189573506468
688400789632493,128,256,4,8,5.027656003368664,0.40000822752844,666.7600000000001,5.027656003368664,0.40000822752844
688400789632493,64,256,4,7,7.976430627657738,0.6988800721616799,689.8899999999999,7.976430627657738,0.6988800721616799
688400789632493,32,256,4,6,9.63295731791898,0.87960992650758,697.79,9.63295731791898,0.87960992650758
688400789632493,16,256,4,7,12.933528582735429,1.1760290669507398,717.4799999999999,12.933528582735429,1.1760290669507398
688400789632493,16,256,4,6,13.034027843400873,1.2099246942716797,721.26,13.034027843400873,1.2099246942716797
688400789632493,128,256,4,10,5.307769895357629,0.40473689696868,666.5799999999999,5.307769895357629,0.40473689696868
688400789632493,16,256,4,10,13.825739824457234,1.18598447646014,717.37,13.825739824457234,1.18598447646014
688400789632493,32,16,4,7,9.843017638647755,0.8843393449907,704.5,9.843017638647755,0.8843393449907
688970879948961,256,256,64,8,4.881569702171642,0.37967718536788,663.48,4.881569702171642,0.37967718536788
688970879948961,256,256,64,10,5.197024106772913,0.38713537495322004,666.6800000000001,5.197024106772913,0.38713537495322004
688970879948961,256,256,128,8,4.888550016801064,0.37965020953497997,659.0799999999999,4.888550016801064,0.37965020953497997
688970879948961,256,256,4,9,4.931162033378283,0.37334192563158003,661.05,4.931162033378283,0.37334192563158003
688970879948961,256,256,64,9,5.070334570885583,0.38763982563756,661.86,5.070334570885583,0.38763982563756
688970879948961,128,256,128,8,5.034420099228527,0.39918130592858,659.3000000000001,5.034420099228527,0.39918130592858
688970879948961,256,256,256,11,5.309409585486205,0.38208852674908,658.07,5.309409585486205,0.38208852674908
688970879948961,512,256,64,8,4.950704741756443,0.37966902201629993,658.1800000000001,4.950704741756443,0.37966902201629993
688970879948961,128,256,128,11,5.427147466500522,0.40233856199018,659.22,5.427147466500522,0.40233856199018
688970879948961,512,256,256,10,5.323330291104852,0.38896815321873995,661.4,5.323330291104852,0.38896815321873995
689524435091294,512,256,4,10,5.198805741289606,0.37894437592674,662.8699999999999,5.198805741289606,0.37894437592674
689524435091294,512,256,16,5,5.269612139692681,0.45216223400404,673.8599999999999,5.269612139692681,0.45216223400404
689524435091294,512,128,4,10,5.188439576215045,0.37894437592674,665.82,5.188439576215045,0.37894437592674
689524435091294,64,64,16,8,7.968581589980838,0.6839854345629999,687.16,7.968581589980838,0.6839854345629999
689524435091294,512,256,4,12,5.6224065119170294,0.39188760102886,665.82,5.6224065119170294,0.39188760102886
689524435091294,512,64,4,10,5.183000569860091,0.37894437592674,670.6,5.183000569860091,0.37894437592674
689524435091294,64,256,4,12,8.56863826088681,0.6713167992937,670.1400000000001,8.56863826088681,0.6713167992937
689524435091294,512,4,4,12,9.08951751243751,0.6990557454099401,682.9000000000001,9.08951751243751,0.6990557454099401
689524435091294,64,128,4,12,8.552949555513012,0.6713167992937,673.55,8.552949555513012,0.6713167992937
689524435091294,512,4,4,11,8.718412716841367,0.68476846839124,674.8100000000001,8.718412716841367,0.68476846839124
690080397092511,512,64,64,8,4.9348968813440965,0.37966902201629993,672.0900000000001,4.9348968813440965,0.37966902201629993
690080397092511,256,64,4,6,5.062299526673726,0.42587588132222,675.75,5.062299526673726,0.42587588132222
690080397092511,512,64,4,7,4.717724215393941,0.37264493449302,670.4200000000001,4.717724215393941,0.37264493449302
690080397092511,512,64,4,6,5.1161539725403955,0.42587588132222,672.12,5.1161539725403955,0.42587588132222
690080397092511,256,64,4,5,5.209520932150324,0.45268749093174004,674.8000000000001,5.209520932150324,0.45268749093174004
690080397092511,256,64,4,4,6.1485796183955985,0.5599602106507,678.26,6.1485796183955985,0.5599602106507
690080397092511,512,64,4,4,6.188381838160638,0.5599602106507,692.21,6.188381838160638,0.5599602106507
690080397092511,512,256,4,4,6.209181902785942,0.5599602106507,696.4800000000001,6.209181902785942,0.5599602106507
690080397092511,32,16,256,9,10.129067056237716,0.8684132692584999,704.27,10.129067056237716,0.8684132692584999
690080397092511,16,128,4,4,12.666882452402376,1.22560193163228,725.6600000000001,12.666882452402376,1.22560193163228
690662610081917,256,128,4,7,4.6626213627125,0.37264493449302,662.8299999999999,4.6626213627125,0.37264493449302
690662610081917,128,128,4,7,5.001721252733998,0.41189573506468,665.2500000000001,5.001721252733998,0.41189573506468
690662610081917,256,128,4,6,5.068185526161578,0.42587588132222,662.5799999999999,5.068185526161578,0.42587588132222
690662610081917,128,128,4,6,5.210060094137219,0.44457664979927997,663.6899999999999,5.210060094137219,0.44457664979927997
690662610081917,128,128,4,8,5.016907657187699,0.40000822752844,664.8000000000001,5.016907657187699,0.40000822752844
690662610081917,128,128,4,12,5.557683415246761,0.40457968875806,658.37,5.557683415246761,0.40457968875806
690662610081917,128,128,4,4,6.142403368777791,0.5620033723107399,691.8399999999999,6.142403368777791,0.5620033723107399
690662610081917,256,128,4,8,4.873273865253308,0.38053019503636,662.76,4.873273865253308,0.38053019503636
690662610081917,512,256,4,5,5.27327238135653,0.45268749093174004,677.33,5.27327238135653,0.45268749093174004
690662610081917,128,128,64,8,5.016253526389037,0.39918132581497995,664.89,5.016253526389037,0.39918132581497995
691215739348009,256,256,256,7,4.691181915930258,0.37174963789326,659.12,4.691181915930258,0.37174963789326
691215739348009,256,128,256,7,4.680944532394019,0.37174963789326,665.99,4.680944532394019,0.37174963789326
691215739348009,256,64,256,7,4.675592369941701,0.37174963789326,661.54,4.675592369941701,0.37174963789326
691215739348009,256,256,256,6,5.099744553419022,0.42499859465586,662.0899999999999,5.099744553419022,0.42499859465586
691215739348009,64,64,4,11,8.348948202951474,0.6701815360875799,684.3299999999999,8.348948202951474,0.6701815360875799
691215739348009,256,64,256,6,5.082680359474655,0.42499859465586,666.11,5.082680359474655,0.42499859465586
691215739348009,64,64,256,6,7.9517661369110755,0.7113571222452999,686.27,7.9517661369110755,0.7113571222452999
691215739348009,512,64,256,5,5.277970169637752,0.45182109491208,663.3100000000001,5.277970169637752,0.45182109491208
691215739348009,128,64,256,5,5.237739309688853,0.45632076206253996,661.4399999999999,5.237739309688853,0.45632076206253996
691215739348009,64,128,256,6,7.960381222875963,0.7113571222452999,677.43,7.960381222875963,0.7113571222452999
691771241288398,256,256,4,10,5.112435753457434,0.37894437592674,665.98,5.112435753457434,0.37894437592674
