benchmark,interval,index,ipc,cpi,cputime
zip,664000,2,0.898930,1.112433,2.71
zip,664000,12,0.801185,1.248152,3.23
zip,664000,22,0.850809,1.175352,2.90
zip,664000,3,1.328692,0.752620,3.16
zip,664000,13,0.800900,1.248595,3.08
zip,664000,23,0.878594,1.138183,3.26
zip,664000,4,0.922789,1.083671,2.95
zip,664000,14,1.679287,0.595491,2.52
zip,664000,24,0.800743,1.248840,3.19
zip,664000,5,0.801086,1.248305,2.52
zip,664000,15,0.801145,1.248213,2.56
zip,664000,25,0.801164,1.248184,2.87
zip,664000,6,1.121200,0.891901,3.08
zip,664000,16,0.857836,1.165725,3.45
zip,664000,26,0.813013,1.229993,2.42
zip,664000,7,0.813170,1.229756,2.85
zip,664000,17,0.813193,1.229720,3.09
zip,664000,27,1.171999,0.853243,2.41
zip,664000,8,0.800591,1.249077,3.51
zip,664000,18,0.813232,1.229661,3.18
zip,664000,28,0.800730,1.248860,3.17
zip,664000,9,0.801152,1.248202,2.74
zip,664000,19,0.801156,1.248197,3.42
zip,664000,29,0.800719,1.248877,2.58
zip,1328000,0,1.087102,0.919877,5.89
zip,1328000,10,1.053540,0.949181,3.66
zip,1328000,20,1.400797,0.713880,5.14
zip,1328000,11,1.227893,0.814403,3.73
zip,1328000,1,1.431850,0.698397,3.53
zip,1328000,21,1.007250,0.992802,4.21
zip,1328000,12,1.326162,0.754056,3.81
zip,1328000,2,2.291693,0.436359,3.52
zip,1328000,22,1.073966,0.931128,4.29
zip,1328000,13,1.123914,0.889748,4.14
zip,1328000,3,1.350917,0.740238,3.77
zip,1328000,23,1.820807,0.549207,3.64
zip,1328000,14,1.533571,0.652073,5.57
zip,1328000,4,1.177848,0.849006,3.66
zip,1328000,24,1.618878,0.617712,3.17
zip,1328000,5,1.192580,0.838518,3.77
zip,1328000,15,1.243855,0.803952,4.57
zip,1328000,25,0.959318,1.042407,4.74
zip,1328000,6,1.373789,0.727914,5.25
zip,1328000,16,1.134892,0.881141,4.12
zip,1328000,26,1.149942,0.869609,4.05
zip,1328000,7,0.937923,1.066186,3.84
zip,1328000,17,1.026454,0.974227,5.25
zip,1328000,27,1.497834,0.667631,3.94
zip,1328000,8,0.943963,1.059364,5.85
zip,1328000,18,2.556258,0.391197,3.64
zip,1328000,28,0.974335,1.026341,3.71
zip,1328000,9,0.998816,1.001185,4.86
zip,1328000,19,1.076349,0.929066,3.51
zip,1328000,29,0.999041,1.000960,4.11
zip,2656000,0,1.785234,0.560151,5.34
zip,2656000,10,1.665743,0.600333,8.07
zip,2656000,20,1.506583,0.663754,5.89
zip,2656000,1,1.583389,0.631557,6.84
zip,2656000,21,1.869894,0.534790,6.97
zip,2656000,11,2.280888,0.438426,5.86
zip,2656000,2,1.723727,0.580138,5.38
zip,2656000,22,1.480789,0.675316,8.83
zip,2656000,12,1.848847,0.540878,6.35
zip,2656000,3,1.764571,0.566710,5.74
zip,2656000,13,1.679377,0.595459,7.05
zip,2656000,4,1.571820,0.636205,7.44
zip,2656000,23,1.445015,0.692034,6.67
zip,2656000,14,1.435287,0.696725,6.83
zip,2656000,5,1.489605,0.671319,6.49
zip,2656000,24,1.634870,0.611670,7.06
zip,2656000,15,1.607594,0.622047,6.38
zip,2656000,6,2.043812,0.489282,5.45
zip,2656000,25,1.459808,0.685022,6.62
zip,2656000,16,2.174613,0.459852,6.14
zip,2656000,7,1.519349,0.658177,6.14
zip,2656000,17,1.538004,0.650193,7.70
zip,2656000,26,1.893724,0.528060,8.87
zip,2656000,8,1.498382,0.667387,6.20
zip,2656000,18,2.347669,0.425954,5.73
zip,2656000,27,1.454727,0.687414,7.13
zip,2656000,9,2.079847,0.480805,6.78
zip,2656000,19,2.128228,0.469874,5.87
zip,2656000,28,1.824383,0.548130,6.86
zip,2656000,29,1.980852,0.504833,5.36
zip,5312000,0,1.909703,0.523642,14.81
zip,5312000,10,1.972501,0.506971,10.62
zip,5312000,20,2.533199,0.394758,13.73
