benchmark,interval,weight,cluster
loops,4000,0.00985222,1
loops,4000,0.044335,2
loops,4000,0.0197044,3
loops,4000,0.0394089,4
loops,4000,0.0492611,5
loops,4000,0.433498,6
loops,4000,0.0985222,7
loops,4000,0.00492611,8
loops,4000,0.0541872,9
loops,4000,0.0985222,10
loops,4000,0.08867,11
loops,4000,0.0295567,12
loops,4000,0.0197044,13
loops,8000,0.148515,0
loops,8000,0.138614,1
loops,8000,0.168317,2
loops,8000,0.00990099,3
loops,8000,0.049505,4
loops,8000,0.0594059,5
loops,8000,0.029703,6
loops,8000,0.207921,7
loops,8000,0.0693069,8
loops,8000,0.029703,9
loops,8000,0.0792079,10
loops,8000,0.00990099,11
nnet,1000,0.0322581,0
nnet,1000,0.0201613,1
nnet,1000,0.189516,2
nnet,1000,0.125,3
nnet,1000,0.197581,4
nnet,1000,0.0403226,5
nnet,1000,0.100806,6
nnet,1000,0.0120968,7
nnet,1000,0.0403226,8
nnet,1000,0.112903,9
nnet,1000,0.0967742,10
nnet,1000,0.0322581,11
nnet,16000,0.0666667,0
nnet,16000,0.0666667,1
nnet,16000,0.0666667,2
nnet,16000,0.0666667,3
nnet,16000,0.0666667,5
nnet,16000,0.0666667,6
nnet,16000,0.0666667,8
nnet,16000,0.0666667,9
nnet,16000,0.0666667,11
nnet,16000,0.0666667,12
nnet,16000,0.0666667,15
nnet,16000,0.0666667,17
nnet,16000,0.0666667,19
nnet,16000,0.0666667,23
nnet,16000,0.0666667,27
nnet,2000,0.016129,0
nnet,2000,0.0887097,1
nnet,2000,0.0403226,2
nnet,2000,0.0483871,3
nnet,2000,0.00806452,4
nnet,2000,0.0241935,5
nnet,2000,0.0645161,6
nnet,2000,0.112903,7
nnet,2000,0.00806452,8
nnet,2000,0.298387,9
nnet,2000,0.104839,10
nnet,2000,0.0403226,11
nnet,2000,0.0483871,12
nnet,2000,0.0967742,13
nnet,32000,0.142857,0
nnet,32000,0.142857,1
nnet,32000,0.142857,2
nnet,32000,0.142857,3
nnet,32000,0.142857,4
nnet,32000,0.142857,5
nnet,32000,0.142857,8
nnet,4000,0.0483871,0
nnet,4000,0.0483871,1
nnet,4000,0.112903,2
nnet,4000,0.016129,3
nnet,4000,0.612903,4
nnet,4000,0.0322581,5
nnet,4000,0.129032,6
nnet,8000,0.0967742,0
nnet,8000,0.0322581,1
nnet,8000,0.0645161,2
nnet,8000,0.0322581,3
nnet,8000,0.290323,4
nnet,8000,0.16129,5
nnet,8000,0.290323,6
nnet,8000,0.0322581,7
parser,1000,0.217714,0
parser,1000,0.133152,1
parser,1000,0.268605,2
parser,1000,0.137378,3
parser,1000,0.00860049,4
parser,1000,5.88672e-05,5
parser,1000,1.76601e-05,6
parser,1000,5.88672e-05,7
parser,1000,0.136843,8
parser,1000,7.65273e-05,9
parser,1000,0.00927158,10
parser,1000,2.35469e-05,11
parser,1000,4.1207e-05,12
parser,1000,5.29804e-05,13
parser,1000,0.00860638,14
parser,1000,6.47539e-05,15
parser,1000,0.0788879,16
parser,1000,1.76601e-05,17
parser,1000,0.000529804,18
parser,16000,0.194028,0
parser,16000,0.000565131,1
parser,16000,0.00951305,2
parser,16000,0.00555713,3
parser,16000,0.000565131,4
parser,16000,0.235848,5
parser,16000,0.196383,6
parser,16000,0.152585,7
parser,16000,0.000470943,8
parser,16000,0.192521,9
