benchmark,interval,cluster,index,cpi,ipc,timing
zip,250000,4,3,1.048944,0.953340,1.45
zip,250000,4,4,1.053320,0.949379,1.46
zip,250000,4,5,1.102052,0.907398,1.41
zip,250000,4,6,1.117592,0.894781,1.48
zip,250000,4,7,1.125584,0.888428,1.41
zip,250000,4,8,1.132064,0.883342,1.47
zip,250000,4,9,1.147728,0.871287,1.46
zip,250000,5,0,1.975696,0.506151,1.13
zip,500000,0,0,1.060780,0.942702,1.75
zip,500000,0,1,1.253575,0.797719,1.90
zip,500000,0,2,1.253477,0.797781,1.90
zip,500000,0,3,1.217831,0.821132,1.85
zip,500000,0,4,1.253609,0.797697,1.83
zip,500000,0,5,1.253576,0.797718,1.85
zip,500000,0,6,1.253563,0.797726,1.81
zip,500000,0,7,1.253539,0.797742,1.81
zip,500000,0,8,1.253569,0.797722,1.87
zip,500000,0,9,1.253623,0.797688,1.82
zip,500000,1,0,1.095460,0.912858,1.86
zip,500000,1,1,1.128759,0.885929,1.91
zip,500000,1,2,1.157800,0.863707,1.85
zip,500000,1,3,1.160325,0.861827,1.81
zip,500000,1,4,1.169956,0.854733,1.84
zip,500000,1,5,1.170961,0.853999,1.85
zip,500000,1,6,1.189244,0.840870,1.85
zip,500000,1,7,1.197996,0.834727,1.84
zip,500000,1,8,1.206588,0.828783,1.92
zip,500000,1,9,1.214460,0.823411,1.83
zip,500000,2,0,1.238202,0.807623,1.82
zip,500000,2,1,1.253978,0.797462,1.83
zip,500000,2,2,1.102992,0.906625,1.86
zip,500000,2,3,1.253566,0.797724,1.85
zip,500000,2,4,1.253889,0.797519,1.90
zip,500000,2,5,1.002718,0.997289,1.80
zip,500000,2,6,1.253892,0.797517,1.90
zip,500000,2,7,1.253194,0.797961,1.88
zip,500000,2,8,1.253599,0.797703,1.90
zip,500000,2,9,1.253556,0.797731,1.80
zip,500000,3,0,0.357255,2.799119,1.72
zip,500000,3,1,0.360848,2.771251,1.74
zip,500000,3,2,0.356206,2.807364,1.72
zip,500000,3,3,0.352665,2.835555,1.72
zip,500000,3,4,0.367095,2.724089,1.76
zip,500000,3,5,0.354076,2.824252,1.75
zip,500000,3,6,0.350474,2.853279,1.70
zip,500000,3,7,0.379370,2.635949,1.73
zip,500000,4,0,1.253898,0.797513,1.88
zip,500000,4,1,1.253553,0.797732,1.85
zip,500000,4,2,1.253559,0.797729,1.88
zip,500000,4,3,1.253265,0.797916,1.85
zip,500000,4,4,1.253339,0.797869,1.90
zip,500000,4,5,1.253271,0.797912,1.87
zip,500000,4,6,1.253663,0.797663,1.92
zip,500000,4,7,0.758422,1.318528,1.78
zip,500000,4,8,1.158706,0.863031,1.83
zip,500000,4,9,1.253732,0.797619,1.83
zip,500000,5,0,1.244809,0.803336,1.88
zip,500000,5,1,1.237475,0.808097,1.79
zip,500000,5,2,1.244744,0.803378,1.83
zip,500000,5,3,1.237476,0.808097,1.86
zip,500000,5,4,1.240547,0.806096,1.92
zip,500000,5,5,1.244614,0.803462,1.79
zip,500000,5,6,1.237149,0.808310,1.84
zip,500000,5,7,1.240919,0.805854,1.87
zip,500000,5,8,1.241508,0.805472,1.87
zip,500000,5,9,1.237234,0.808255,1.82
zip,500000,6,0,1.074888,0.930329,1.91
zip,500000,6,1,1.078134,0.927528,1.86
zip,500000,6,2,1.099000,0.909918,1.81
zip,500000,6,3,1.104508,0.905380,1.88
zip,500000,6,4,1.135308,0.880818,1.80
zip,500000,6,5,1.137676,0.878985,1.77
zip,500000,6,6,1.142630,0.875174,1.84
zip,500000,6,7,1.143372,0.874606,1.81
zip,500000,6,8,1.163900,0.859180,1.80
zip,500000,6,9,1.165596,0.857930,1.83
zip,500000,7,0,0.986432,1.013755,1.78
zip,500000,7,1,1.253229,0.797939,1.86
zip,500000,7,2,1.171095,0.853902,1.84
zip,500000,7,3,1.051618,0.950916,1.76
zip,500000,7,4,1.254248,0.797290,1.88
zip,500000,7,5,1.253547,0.797736,1.80
zip,500000,7,6,1.253630,0.797684,1.84
zip,500000,7,7,1.253235,0.797935,1.88
zip,500000,7,8,1.253451,0.797797,1.84
zip,500000,7,9,1.253557,0.797730,1.87
zip,500000,8,0,0.486948,2.053608,1.74
zip,500000,8,1,0.427902,2.336984,1.69
zip,500000,8,2,0.436237,2.292331,1.68
zip,500000,8,3,0.383302,2.608911,1.72
zip,500000,8,4,0.377414,2.649610,1.75
zip,500000,8,5,0.434207,2.303046,1.75
zip,500000,8,6,0.372961,2.681244,1.68
zip,500000,8,7,0.394102,2.537414,1.65
zip,500000,8,8,0.409406,2.442565,1.74
zip,500000,8,9,0.476760,2.097491,1.77
zip,500000,9,0,1.089245,0.918067,1.85
zip,500000,9,1,1.119588,0.893186,1.84
zip,500000,9,2,1.123784,0.889851,1.89
zip,500000,9,3,1.133116,0.882522,1.85
zip,500000,9,4,1.141437,0.876089,1.82
zip,500000,9,5,1.148586,0.870635,1.79
zip,500000,9,6,1.155376,0.865519,1.95
zip,500000,9,7,1.156135,0.864951,1.80
zip,500000,9,8,1.165937,0.857680,1.82
zip,500000,9,9,1.168658,0.855682,1.81
zip,500000,10,0,1.253553,0.797733,1.81
zip,500000,10,1,0.955018,1.047100,1.80
zip,500000,10,2,1.117296,0.895018,1.86
zip,500000,10,3,1.253281,0.797906,1.78
zip,500000,10,4,1.253152,0.797988,1.80
zip,500000,10,5,1.061474,0.942086,1.83
zip,500000,10,6,1.253224,0.797942,1.94
zip,500000,10,7,1.253892,0.797517,1.81
zip,500000,10,8,1.253526,0.797750,1.85
zip,500000,10,9,1.253540,0.797741,1.88
zip,500000,11,0,1.253615,0.797693,1.80
zip,500000,11,1,0.881350,1.134622,1.76
zip,500000,11,2,1.036566,0.964724,1.90
zip,500000,11,3,1.253891,0.797517,1.97
zip,500000,11,4,1.253599,0.797703,3.17
zip,500000,11,5,1.214568,0.823338,2.61
zip,500000,11,6,0.982034,1.018295,2.94
zip,500000,11,7,1.253608,0.797698,3.77
zip,500000,11,8,1.253640,0.797677,3.09
zip,500000,11,9,1.253616,0.797692,2.84
zip,500000,12,0,0.806713,1.239598,3.20
zip,500000,12,1,0.923916,1.082350,3.24
zip,500000,12,2,1.104674,0.905244,2.80
zip,500000,12,3,1.254186,0.797330,3.03
zip,500000,12,4,1.253937,0.797488,3.60
zip,500000,12,5,1.253967,0.797469,3.12
zip,500000,12,6,1.254005,0.797445,2.99
zip,500000,12,7,1.254235,0.797299,2.59
zip,500000,12,8,0.976702,1.023854,2.58
zip,500000,12,9,1.253931,0.797492,2.98
zip,500000,13,0,1.109374,0.901409,3.21
zip,500000,13,1,1.121842,0.891391,3.40
zip,500000,13,2,1.131743,0.883593,2.97
zip,500000,13,3,1.146823,0.871974,2.70
zip,500000,13,4,1.156909,0.864372,2.46
zip,500000,13,5,1.172663,0.852760,2.55
zip,500000,13,6,1.176231,0.850173,2.31
zip,500000,13,7,1.182667,0.845547,2.17
zip,500000,13,8,1.202991,0.831262,2.64
zip,500000,13,9,1.224591,0.816599,2.64
zip,500000,14,0,1.190566,0.839937,2.05
zip,500000,15,0,0.496439,2.014346,1.95
zip,500000,15,1,0.906546,1.103088,2.55
zip,500000,15,2,0.929324,1.076051,2.83
zip,500000,15,3,0.548224,1.824071,2.46
zip,500000,15,4,0.797239,1.254329,3.30
zip,500000,15,5,0.798952,1.251639,2.48
zip,500000,15,6,0.783065,1.277033,3.12
zip,500000,15,7,0.627451,1.593751,2.69
zip,500000,15,8,0.652335,1.532954,3.21
zip,500000,15,9,0.824884,1.212292,2.99
zip,500000,16,0,0.343893,2.907884,2.61
zip,500000,16,1,0.342251,2.921835,2.48
zip,500000,16,2,0.342336,2.921107,2.45
zip,500000,16,3,0.342203,2.922245,2.83
zip,500000,16,4,0.342608,2.918788,2.82
zip,500000,16,5,0.342089,2.923219,2.21
zip,500000,16,6,0.343619,2.910197,1.96
zip,500000,16,7,0.342806,2.917102,2.41
zip,500000,16,8,0.346320,2.887502,1.71
zip,500000,16,9,0.345934,2.890724,1.82
zip,500000,17,0,1.158685,0.863047,1.96
zip,500000,17,1,1.253574,0.797719,1.95
zip,500000,17,2,0.928990,1.076438,2.17
zip,500000,17,3,1.253221,0.797944,2.10
zip,500000,17,4,1.030352,0.970542,1.89
zip,500000,17,5,1.253573,0.797720,1.87
zip,500000,17,6,1.254056,0.797413,1.82
zip,500000,17,7,1.253581,0.797714,1.80
zip,500000,17,8,1.253912,0.797504,1.79
zip,500000,17,9,1.253645,0.797674,1.83
zip,500000,18,0,1.197819,0.834851,1.76
zip,500000,18,1,1.253821,0.797562,1.85
zip,500000,18,2,1.254240,0.797296,1.82
zip,500000,18,3,1.253571,0.797721,1.76
zip,500000,18,4,0.655568,1.525395,1.68
zip,500000,18,5,0.672044,1.487998,1.67
zip,500000,18,6,0.782628,1.277746,1.68
zip,500000,18,7,0.782724,1.277589,1.70
zip,500000,18,8,0.929216,1.076176,1.72
zip,500000,18,9,0.929774,1.075530,1.69
zip,1000000,0,0,0.816650,1.224515,2.38
zip,1000000,0,1,1.166225,0.857468,2.59
zip,1000000,0,2,1.064104,0.939758,2.61
zip,1000000,0,3,1.190962,0.839657,2.56
zip,1000000,0,4,0.915788,1.091956,2.53
zip,1000000,0,5,0.977558,1.022957,2.45
zip,1000000,0,6,1.193055,0.838185,2.55
zip,1000000,0,7,1.162401,0.860289,2.64
zip,1000000,0,8,1.024666,0.975928,2.65
zip,1000000,0,9,1.148784,0.870486,2.63
zip,1000000,1,0,1.241181,0.805684,2.59
zip,1000000,1,1,0.932304,1.072612,2.50
zip,1000000,1,2,1.001832,0.998171,2.59
zip,1000000,1,3,1.156851,0.864415,2.57
zip,1000000,1,4,0.829565,1.205451,2.57
zip,1000000,1,5,0.941777,1.061822,2.56
zip,1000000,1,6,1.026531,0.974155,2.61
zip,1000000,1,7,1.201248,0.832468,2.55
zip,1000000,1,8,0.964603,1.036696,2.56
zip,1000000,1,9,0.954007,1.048210,2.59
zip,1000000,2,0,0.518835,1.927395,2.40
zip,1000000,2,1,0.616445,1.622206,2.42
zip,1000000,2,2,0.502148,1.991447,2.39
zip,1000000,2,3,0.542250,1.844167,2.39
zip,1000000,2,4,0.575041,1.739006,2.39
zip,1000000,2,5,0.653935,1.529203,2.35
zip,1000000,2,6,0.563838,1.773559,2.43
zip,1000000,2,7,0.583033,1.715168,2.45
zip,1000000,2,8,0.548959,1.821628,2.49
zip,1000000,2,9,0.536109,1.865293,2.47
zip,1000000,3,0,0.344435,2.903308,2.30
zip,1000000,3,1,0.345024,2.898346,2.33
zip,1000000,3,2,0.344979,2.898727,2.38
zip,1000000,3,3,0.344556,2.902283,2.33
zip,1000000,3,4,0.344543,2.902395,2.33
zip,1000000,3,5,0.344295,2.904489,2.37
zip,1000000,3,6,0.345439,2.894867,2.31
zip,1000000,3,7,0.345154,2.897260,2.40
zip,1000000,3,8,0.344617,2.901775,2.34
zip,1000000,3,9,0.345591,2.893591,2.38
zip,1000000,4,0,0.783437,1.276427,2.28
zip,1000000,5,0,0.352898,2.833683,2.36
zip,1000000,5,1,0.350108,2.856259,2.28
zip,1000000,5,2,0.349329,2.862631,2.32
zip,1000000,5,3,0.356198,2.807430,2.35
zip,1000000,5,4,0.349014,2.865212,2.33
zip,1000000,5,5,0.346884,2.882808,2.33
zip,1000000,5,6,0.363697,2.749545,2.40
zip,1000000,6,0,0.390860,2.558458,2.35
zip,1000000,6,1,0.387078,2.583460,2.43
zip,1000000,6,2,0.415874,2.404574,2.39
zip,1000000,6,3,0.405945,2.463390,2.37
zip,1000000,6,4,0.380005,2.631547,2.42
zip,1000000,6,5,0.389656,2.566367,2.43
