benchmark,interval,cluster,index,cpi,ipc,timing
zip,4000000,5,7,0.553582,1.806417,6.33
zip,4000000,5,8,0.536295,1.864644,6.39
zip,4000000,5,9,0.582586,1.716484,6.59
zip,4000000,6,0,0.364852,2.740839,6.22
zip,4000000,6,1,0.365441,2.736418,6.30
zip,4000000,6,2,0.361088,2.769405,6.24
zip,4000000,6,3,0.361675,2.764912,6.26
zip,4000000,6,4,0.359929,2.778329,6.35
zip,4000000,6,5,0.365382,2.736859,6.22
zip,4000000,6,6,0.363509,2.750962,6.30
zip,4000000,6,7,0.358423,2.790001,6.36
zip,4000000,6,8,0.359746,2.779738,6.45
zip,4000000,6,9,0.363993,2.747308,6.26
zip,4000000,7,0,0.581200,1.720578,8.30
zip,4000000,7,1,0.567129,1.763266,11.52
zip,4000000,7,2,0.570765,1.752035,9.75
zip,4000000,7,3,0.578296,1.729220,11.69
zip,4000000,7,4,0.549433,1.820057,10.35
zip,4000000,7,5,0.583067,1.715067,9.16
zip,4000000,7,6,0.559895,1.786051,10.41
zip,4000000,7,7,0.560793,1.783188,11.88
zip,4000000,7,8,0.564210,1.772391,9.90
zip,4000000,7,9,0.584247,1.711605,9.00
zip,8000000,0,0,0.422683,2.365838,11.57
zip,8000000,0,1,0.421137,2.374525,11.49
zip,8000000,0,2,0.425785,2.348602,12.10
zip,8000000,0,3,0.420541,2.377889,11.65
zip,8000000,0,4,0.418845,2.387518,11.53
zip,8000000,0,5,0.420742,2.376756,11.47
zip,8000000,0,6,0.423822,2.359481,11.56
zip,8000000,0,7,0.422549,2.366592,11.46
zip,8000000,0,8,0.419164,2.385702,11.45
zip,8000000,0,9,0.424200,2.357379,11.58
zip,8000000,1,0,0.367894,2.718177,11.49
zip,8000000,1,1,0.365878,2.733148,11.34
zip,8000000,1,2,0.369026,2.709834,11.45
zip,8000000,1,3,0.367316,2.722448,11.43
zip,8000000,1,4,0.368900,2.710759,11.38
zip,8000000,1,5,0.366363,2.729530,11.52
zip,8000000,1,6,0.367068,2.724287,11.38
zip,8000000,1,7,0.367818,2.718735,11.82
zip,8000000,1,8,0.365280,2.737629,11.49
zip,8000000,1,9,0.370844,2.696548,11.50
zip,8000000,2,0,0.355313,2.814420,11.91
zip,8000000,2,1,0.355212,2.815220,17.27
zip,8000000,2,2,0.353466,2.829128,18.44
zip,8000000,2,3,0.355260,2.814839,18.76
zip,8000000,2,4,0.352633,2.835807,19.13
zip,8000000,2,5,0.354577,2.820266,20.89
zip,8000000,2,6,0.356020,2.808831,19.28
zip,8000000,2,7,0.355824,2.810380,16.42
zip,8000000,2,8,0.356425,2.805642,17.76
zip,8000000,2,9,0.356025,2.808789,17.31
zip,8000000,3,0,0.405207,2.467875,19.07
zip,8000000,4,0,0.390740,2.559249,20.03
zip,8000000,4,1,0.385834,2.591791,19.27
zip,8000000,4,2,0.390717,2.559396,17.45
zip,8000000,4,3,0.389140,2.569770,14.86
zip,8000000,4,4,0.391500,2.554276,13.86
zip,8000000,4,5,0.388293,2.575374,12.23
zip,8000000,4,6,0.390182,2.562905,12.51
zip,8000000,4,7,0.388119,2.576529,11.67
zip,8000000,4,8,0.387050,2.583647,11.27
zip,8000000,4,9,0.389482,2.567513,11.20
zip,8000000,5,0,0.451322,2.215712,11.23
zip,8000000,5,1,0.461956,2.164710,11.14
zip,8000000,5,2,0.463194,2.158923,10.75
zip,8000000,5,3,0.456501,2.190578,10.69
zip,8000000,5,4,0.459281,2.177317,10.90
zip,8000000,5,5,0.457678,2.184942,10.65
zip,8000000,5,6,0.452996,2.207524,10.91
zip,8000000,5,7,0.462098,2.164042,10.85
zip,8000000,5,8,0.452906,2.207965,10.68
zip,8000000,5,9,0.447712,2.233580,10.65
zip,8000000,6,0,0.345287,2.896142,10.46
zip,8000000,6,1,0.345113,2.897603,10.58
zip,8000000,6,2,0.345561,2.893847,10.47
zip,8000000,6,3,0.344388,2.903701,10.37
zip,8000000,6,4,0.347951,2.873968,10.49
zip,8000000,6,5,0.349217,2.863547,10.57
zip,8000000,6,6,0.343974,2.907195,10.47
zip,8000000,6,7,0.348661,2.868118,10.52
zip,8000000,6,8,0.348684,2.867927,10.63
zip,8000000,6,9,0.349502,2.861218,10.43
zip,8000000,7,0,0.341717,2.926397,10.41
zip,8000000,7,1,0.344094,2.906181,10.45
zip,8000000,7,2,0.344365,2.903898,10.47
zip,8000000,7,3,0.343909,2.907744,10.48
zip,16000000,0,0,0.398280,2.510799,21.75
zip,16000000,0,1,0.394654,2.533866,21.68
zip,16000000,0,2,0.396065,2.524841,21.82
zip,16000000,0,3,0.399135,2.505421,21.61
zip,16000000,0,4,0.394636,2.533980,21.65
zip,16000000,0,5,0.399428,2.503579,21.85
zip,16000000,0,6,0.394523,2.534704,22.01
zip,16000000,0,7,0.398273,2.510841,21.83
zip,16000000,0,8,0.396399,2.522709,22.38
zip,16000000,0,9,0.398533,2.509206,33.45
zip,16000000,1,0,0.347378,2.878711,34.79
zip,16000000,1,1,0.347045,2.881471,32.22
zip,16000000,1,2,0.347871,2.874630,37.86
zip,16000000,1,3,0.345431,2.894935,33.34
zip,16000000,1,4,0.348358,2.870610,30.75
zip,16000000,1,5,0.348108,2.872674,34.19
zip,16000000,1,6,0.344661,2.901404,31.70
zip,16000000,2,0,0.374402,2.670925,31.10
zip,16000000,3,0,0.354497,2.820896,25.56
zip,16000000,3,1,0.355251,2.814915,22.96
zip,16000000,3,2,0.354507,2.820815,21.40
zip,16000000,3,3,0.353619,2.827902,21.10
zip,16000000,3,4,0.353059,2.832390,20.61
zip,16000000,3,5,0.353831,2.826207,20.47
zip,16000000,3,6,0.353619,2.827902,20.00
zip,16000000,3,7,0.354212,2.823169,20.15
zip,16000000,3,8,0.354085,2.824178,20.23
zip,16000000,3,9,0.355479,2.813105,20.12
zip,16000000,4,0,0.360755,2.771963,19.98
zip,16000000,4,1,0.360999,2.770090,20.27
zip,16000000,4,2,0.361104,2.769283,19.94
zip,16000000,4,3,0.359989,2.777862,20.07
zip,16000000,4,4,0.361060,2.769620,20.15
zip,16000000,4,5,0.360563,2.773437,20.00
zip,16000000,4,6,0.361068,2.769558,19.93
zip,16000000,4,7,0.361070,2.769550,19.63
zip,16000000,4,8,0.361236,2.768274,19.55
zip,16000000,4,9,0.360363,2.774980,19.73
zip,16000000,5,0,0.350379,2.854051,19.57
zip,16000000,5,1,0.350088,2.856423,19.65
zip,16000000,5,2,0.350718,2.851297,19.75
zip,16000000,5,3,0.349262,2.863184,19.57
zip,16000000,5,4,0.349606,2.860364,19.51
zip,16000000,5,5,0.350790,2.850705,19.78
zip,16000000,5,6,0.348848,2.866582,19.66
zip,16000000,5,7,0.350413,2.853775,19.46
zip,16000000,5,8,0.351270,2.846812,19.58
zip,16000000,5,9,0.348750,2.867386,20.25
zip,16000000,6,0,0.381037,2.624417,19.69
zip,16000000,6,1,0.383427,2.608060,19.48
zip,16000000,6,2,0.381610,2.620476,19.63
zip,16000000,6,3,0.383437,2.607989,19.66
zip,16000000,6,4,0.382749,2.612680,20.06
zip,16000000,6,5,0.380570,2.627634,19.57
zip,16000000,6,6,0.381308,2.622552,19.91
zip,16000000,6,7,0.382563,2.613951,19.59
zip,16000000,6,8,0.380706,2.626696,19.60
zip,16000000,6,9,0.382698,2.613026,19.61
zip,16000000,7,0,0.343852,2.908230,19.46
zip,16000000,7,1,0.343354,2.912446,19.42
zip,16000000,7,2,0.342746,2.917609,19.30
zip,16000000,8,0,0.368740,2.711939,19.48
zip,16000000,8,1,0.369981,2.702843,19.61
zip,16000000,8,2,0.369835,2.703909,19.41
zip,16000000,8,3,0.369598,2.705646,19.68
zip,16000000,8,4,0.370288,2.700601,19.54
zip,16000000,8,5,0.368250,2.715548,19.60
zip,16000000,8,6,0.370514,2.698955,19.81
zip,16000000,8,7,0.371052,2.695037,19.85
zip,16000000,8,8,0.368497,2.713729,19.86
zip,16000000,8,9,0.369517,2.706235,19.48
