rob_size,lq_size,sq_size,p_width,interval,int_regs,float_regs,vec_regs,performance,energy,area,Timestamp
128,64,64,8,16000000,222,53,130,0.39959407994518004,4.98881564331036,13.233575528495999,526354
256,4,128,12,16000000,211,70,144,0.69838696436296,8.917263807975447,15.080421558808,526354
256,64,256,11,16000000,164,236,60,0.39450231678256,5.3739494619330825,14.932168762900002,526354
128,4,16,8,16000000,83,140,99,0.71181491047158,8.17931714582827,13.142297147111998,526354
64,16,128,6,16000000,77,208,107,0.7852755870747399,8.60445219847608,12.569570048232002,526354
512,128,64,4,16000000,228,248,154,0.5590500930531799,6.190221171257764,12.226530379631999,526354
32,128,4,6,16000000,221,184,158,0.87960992650758,9.59327875599581,12.665521723651999,526354
64,64,256,9,16000000,173,230,165,0.683726126396,8.143608807374408,13.805010014132,526354
64,64,16,11,16000000,59,106,183,0.9798777412043199,11.595626739057238,13.967382123936,526354
256,4,16,8,16000000,233,93,207,0.6985918321957599,8.15965152769346,13.391075480687999,526354
64,64,256,5,16000000,51,243,121,1.4024961540893799,14.673118338742219,12.328447962332,1059020
256,256,4,4,16000000,213,158,64,0.5599642589427001,6.155485475738484,12.144896881684,1059020
128,256,128,11,16000000,50,204,243,1.4300101870576,16.74283558288756,14.350393371311998,1059020
32,128,128,6,16000000,71,251,185,0.87899251909786,9.563634232979854,12.61143083098,1059020
32,4,256,12,16000000,145,182,88,0.8544304406765401,10.532608031702512,14.876884688772002,1059020
16,16,4,10,16000000,117,154,226,1.18598447646014,13.653219125217953,13.816842396903999,1059020
256,256,16,12,16000000,112,199,247,0.62861545845932,8.153190832033411,15.149725515044,1059020
32,64,4,8,16000000,253,126,197,0.86776618028744,9.85496288844178,13.300890848971997,1059020
64,64,64,12,16000000,206,67,153,0.67054471432536,8.485993729514764,14.737680185572,1059020
32,256,64,8,16000000,130,139,125,0.8694649765731199,9.865631466798321,13.225819849031998,1059020
128,16,256,12,16000000,58,118,107,0.99773168432802,12.113417380535122,14.49168594206,1579215
512,4,256,9,16000000,248,115,228,0.7116177926381,8.627871636811912,14.152225817827999,1579215
256,64,128,11,16000000,66,198,134,0.8770279540656599,10.652934252792406,14.546771152611997,1579215
32,256,16,6,16000000,160,233,147,0.8790700758886,9.59517951584073,12.682623991188,1579215
256,256,16,10,16000000,238,157,95,0.3794532460832,5.103768709592726,14.434313800383999,1579215
64,64,128,9,16000000,109,81,168,0.683726126396,8.065963176662995,13.393859570752,1579215
16,128,4,10,16000000,187,54,230,1.186069419603,13.701298373973533,13.782936157196001,1579215
256,256,256,5,16000000,80,200,182,0.76919313024216,8.389697747374885,12.429768954304,1579215
128,4,128,7,16000000,202,62,201,0.72603926986608,8.213179087734222,12.885067111556,1579215
16,256,16,6,16000000,127,107,154,1.2094700282399198,12.943177853042137,12.545905282688,1579215
128,64,256,5,16000000,233,245,232,0.45632076206253996,5.233617581771856,12.469342805928,2094593
128,4,256,10,16000000,159,155,127,0.6984562853483399,8.473767579513076,14.118120714543998,2094593
32,256,16,8,16000000,214,171,52,0.86955242683074,9.89810474924936,13.359953331044,2094593
64,16,4,4,16000000,152,51,233,0.74379411193468,7.854921246756973,11.979243522876,2094593
16,16,16,8,16000000,108,100,82,1.1927534331115999,13.198574880097414,13.022879569724001,2094593
512,16,128,7,16000000,125,190,221,0.58708888155898,6.940923072742082,13.182865316616002,2094593
128,4,128,5,16000000,221,174,100,0.73927584528574,8.028080716771672,12.382638286792,2094593
32,256,128,12,16000000,179,61,130,0.8501643508078599,10.488006331973546,14.615677381695997,2094593
512,16,128,12,16000000,62,157,252,0.9377861362211799,11.657257821375397,15.278887407655997,2094593
32,128,128,4,16000000,100,85,157,0.8941579592800599,9.336401878325816,12.010465104307999,2094593
128,16,4,4,16000000,109,55,50,0.6993164399219,7.437304129438036,11.96860432156,2626663
256,4,16,7,16000000,55,82,141,1.11316202795534,12.197590492999998,12.790706344743999,2626663
32,256,4,7,16000000,173,88,177,0.8843393449907,9.824093049882713,12.866572798987999,2626663
512,64,128,5,16000000,192,220,206,0.45183243581394006,5.247879716180593,12.532979150248,2626663
128,128,64,10,16000000,141,192,218,0.4153354257663999,5.363855253427341,14.132936050956,2626663
32,128,256,4,16000000,94,62,66,0.8941716510373201,9.35400390154986,12.024385554628,2626663
128,256,4,7,16000000,154,166,217,0.41189573506468,4.979393715971252,12.990663670412,2626663
128,64,4,12,16000000,96,238,78,0.67785407282522,8.567314513085691,14.941018192032,2626663
16,16,64,10,16000000,153,166,197,1.1846335955087,13.691746945276119,13.960322466988,2626663
32,16,128,6,16000000,145,213,233,0.8789857534696199,9.57045056893775,12.632212074671997,2626663
64,128,64,12,16000000,166,147,246,0.67052276121,8.489139710070717,14.885634686116001,3155680
64,64,4,8,16000000,222,64,206,0.68456845709996,7.933901495101647,13.200365311304001,3155680
16,256,16,4,16000000,63,61,226,1.22802540523936,12.618701273477397,11.983817385124,3155680
256,128,16,11,16000000,128,191,218,0.55986419242716,7.216519251308972,14.707850649171998,3155680
128,256,4,11,16000000,221,51,154,0.40374051326033994,5.39295913239963,14.405776877228,3155680
256,64,16,8,16000000,165,141,245,0.38067098334997995,4.835447416671648,13.393760138964,3155680
128,4,16,7,16000000,138,122,77,0.7261118593307,8.181171329174521,12.865379617532,3155680
512,256,16,8,16000000,225,253,111,0.37997836710778,4.940701497602712,13.855223067072,3155680
16,256,256,10,16000000,98,62,164,1.1846336878382,13.701968546859003,13.660734489744,3155680
16,16,128,8,16000000,81,62,215,1.19267673143936,13.201252419711238,12.953376749912,3155680
