benchmark,interval,cluster,index,cpi
cjpeg,32000,9,0,2.276330
cjpeg,32000,2,0,2.513797
cjpeg,32000,3,0,2.687053
cjpeg,32000,0,0,3.034908
cjpeg,32000,10,0,4.730931
cjpeg,4000,7,0,8.477522
cjpeg,4000,4,0,7.669502
cjpeg,4000,4,1,4.092250
cjpeg,4000,5,7,9.418541
cjpeg,4000,5,4,4.884250
cjpeg,4000,5,5,3.971000
cjpeg,4000,5,8,7.248812
cjpeg,4000,5,2,5.644911
cjpeg,4000,5,3,5.148250
cjpeg,4000,5,0,4.711072
cjpeg,4000,5,6,8.018991
cjpeg,4000,5,1,4.166458
cjpeg,4000,9,0,3.328414
cjpeg,4000,9,1,2.861285
cjpeg,4000,8,0,4.342586
cjpeg,4000,2,2,5.843656
cjpeg,4000,2,0,2.886307
cjpeg,4000,2,1,4.738500
cjpeg,4000,3,2,1.979520
cjpeg,4000,3,3,7.045250
cjpeg,4000,3,0,3.237988
cjpeg,4000,3,1,3.858000
cjpeg,4000,0,0,5.050038
cjpeg,4000,10,0,7.467367
cjpeg,4000,11,2,5.262684
cjpeg,4000,11,0,6.580105
cjpeg,4000,11,1,7.375000
cjpeg,4000,12,0,4.903000
cjpeg,4000,12,1,3.370343
cjpeg,4000,6,0,9.631408
cjpeg,4000,6,1,5.949225
cjpeg,4000,1,7,3.042500
cjpeg,4000,1,4,3.347000
cjpeg,4000,1,5,3.509627
cjpeg,4000,1,9,2.848174
cjpeg,4000,1,8,2.579000
cjpeg,4000,1,2,2.946803
cjpeg,4000,1,3,3.146677
cjpeg,4000,1,0,3.396198
cjpeg,4000,1,6,2.762309
cjpeg,4000,1,1,2.828457
cjpeg,16000,2,0,3.096675
cjpeg,16000,0,4,4.427625
cjpeg,16000,0,2,3.771846
cjpeg,16000,0,3,3.619485
cjpeg,16000,0,0,2.229904
cjpeg,16000,0,1,6.111500
cjpeg,16000,1,7,3.019500
cjpeg,16000,1,4,2.069955
cjpeg,16000,1,5,2.012873
cjpeg,16000,1,2,4.468658
cjpeg,16000,1,3,2.502219
cjpeg,16000,1,0,2.633335
cjpeg,16000,1,6,3.759345
cjpeg,16000,1,1,2.631510
cjpeg,8000,26,0,1.824250
cjpeg,8000,7,2,4.895013
cjpeg,8000,7,3,5.716625
cjpeg,8000,7,0,2.882265
cjpeg,8000,7,1,3.379345
cjpeg,8000,14,0,2.286786
cjpeg,8000,25,0,2.844250
cjpeg,8000,5,0,4.665333
cjpeg,8000,13,0,6.370125
cjpeg,8000,9,0,3.623172
cjpeg,8000,22,0,4.954000
cjpeg,8000,8,2,3.065766
cjpeg,8000,8,0,2.993126
cjpeg,8000,8,1,2.956609
cjpeg,8000,2,0,5.271466
cjpeg,8000,3,0,7.563875
cjpeg,8000,0,0,5.633658
cjpeg,8000,23,0,3.097387
cjpeg,8000,20,0,3.588699
cjpeg,8000,10,0,3.048744
cjpeg,8000,15,2,2.656922
cjpeg,8000,15,0,3.031492
cjpeg,8000,15,1,2.929875
cjpeg,8000,11,2,2.420447
cjpeg,8000,11,0,2.592352
cjpeg,8000,11,1,2.952018
cjpeg,8000,29,0,2.582375
cjpeg,8000,12,0,5.070777
cjpeg,8000,1,0,3.017746
core,1000,7,2,3.186627
core,1000,7,0,2.656657
core,1000,7,1,3.297000
core,1000,14,7,9.085000
core,1000,14,4,8.174477
core,1000,14,5,3.238000
core,1000,14,9,3.111334
core,1000,14,8,9.718876
core,1000,14,2,4.203203
core,1000,14,3,8.384000
core,1000,14,0,2.596597
core,1000,14,6,4.605000
core,1000,14,1,3.329000
core,1000,4,4,4.575000
core,1000,4,2,2.590591
core,1000,4,3,6.372255
core,1000,4,0,3.214429
core,1000,4,1,3.212212
core,1000,5,7,3.359000
core,1000,5,4,6.432567
core,1000,5,5,2.836000
core,1000,5,9,2.847610
core,1000,5,8,6.650651
core,1000,5,2,3.009990
core,1000,5,3,3.198801
core,1000,5,0,4.882353
core,1000,5,6,2.880359
core,1000,5,1,2.650000
core,1000,13,7,5.698000
core,1000,13,4,2.596404
core,1000,13,5,3.569570
core,1000,13,9,2.473579
core,1000,13,8,5.215784
core,1000,13,2,2.705589
core,1000,13,3,7.695000
core,1000,13,0,3.109438
core,1000,13,6,4.311000
core,1000,13,1,3.862138
core,1000,9,7,6.153846
core,1000,9,4,12.651652
core,1000,9,5,5.783000
core,1000,9,9,14.219124
core,1000,9,8,4.323323
core,1000,9,2,9.313627
core,1000,9,3,19.028084
core,1000,9,0,3.029970
core,1000,9,6,13.209000
core,1000,9,1,6.697000
core,1000,8,7,5.244000
core,1000,8,4,12.053000
core,1000,8,5,8.948949
core,1000,8,9,6.137000
core,1000,8,8,11.180819
core,1000,8,2,10.567568
core,1000,8,3,14.243000
core,1000,8,0,12.738000
core,1000,8,6,8.319361
core,1000,8,1,5.394816
core,1000,2,7,4.006000
core,1000,2,4,4.450803
core,1000,2,5,6.466000
core,1000,2,9,3.202595
core,1000,2,8,2.424273
core,1000,2,2,3.349699
core,1000,2,3,5.848546
core,1000,2,0,3.394578
core,1000,2,6,7.692385
core,1000,2,1,3.196196
core,1000,3,2,4.906814
core,1000,3,0,1.445000
core,1000,3,1,4.057114
core,1000,0,0,2.483549
core,1000,10,7,12.379000
core,1000,10,4,3.753247
core,1000,10,5,3.288000
core,1000,10,9,7.104790
core,1000,10,8,9.996997
core,1000,10,2,5.840160
core,1000,10,3,8.442000
core,1000,10,0,2.768000
core,1000,10,6,4.988978
core,1000,10,1,13.266533
core,1000,15,7,2.946894
core,1000,15,4,3.474000
core,1000,15,5,2.872637
core,1000,15,9,2.936937
core,1000,15,8,5.047094
core,1000,15,2,2.781219
core,1000,15,3,2.642285
core,1000,15,0,3.405594
core,1000,15,6,3.544088
core,1000,15,1,4.354645
core,1000,11,0,2.514940
core,1000,11,1,4.428428
core,1000,12,7,4.201403
core,1000,12,4,5.265265
core,1000,12,5,5.055888
core,1000,12,9,4.651652
core,1000,12,8,15.642715
core,1000,12,2,4.705000
core,1000,12,3,9.595596
core,1000,12,0,6.821000
core,1000,12,6,4.758032
core,1000,12,1,3.114000
core,1000,6,0,2.943000
core,1000,1,4,6.079920
core,1000,1,2,7.908184
core,1000,1,3,12.638000
core,1000,1,0,10.976119
core,1000,1,1,2.619381
core,2000,7,7,3.549098
core,2000,7,4,4.136000
core,2000,7,5,4.589000
core,2000,7,9,2.876938
core,2000,7,8,3.662331
core,2000,7,2,4.271500
core,2000,7,3,4.041521
core,2000,7,0,3.421000
core,2000,7,6,2.521239
core,2000,7,1,2.490736
core,2000,4,0,4.108500
core,2000,5,4,9.457542
core,2000,5,2,3.031968
core,2000,5,3,2.696304
core,2000,5,0,2.983017
core,2000,5,1,3.365683
core,2000,2,7,4.828172
core,2000,2,4,9.903548
core,2000,2,5,8.094453
core,2000,2,9,3.353646
core,2000,2,8,3.620810
core,2000,2,2,3.270000
core,2000,2,3,3.062375
core,2000,2,0,3.730769
core,2000,2,6,5.077039
core,2000,2,1,6.219940
core,2000,3,7,8.004505
core,2000,3,4,8.330500
core,2000,3,5,9.764264
core,2000,3,9,7.015508
core,2000,3,8,2.448500
core,2000,3,2,7.889500
core,2000,3,3,7.799900
core,2000,3,0,10.402701
core,2000,3,6,7.259481
core,2000,3,1,17.123562
core,2000,0,0,6.045432
core,2000,0,1,5.476785
core,2000,6,2,11.404500
core,2000,6,0,6.805403
core,2000,6,1,7.101152
core,2000,1,2,1.909364
core,2000,1,0,3.361139
core,2000,1,1,5.687656
core,32000,0,4,2.689428
core,32000,0,5,4.734165
core,32000,0,2,2.292669
core,32000,0,3,1.936687
core,32000,0,0,3.065756
core,32000,0,1,4.806638
core,4000,7,7,3.114750
core,4000,7,4,3.381655
core,4000,7,5,3.059515
core,4000,7,9,3.632092
core,4000,7,8,3.190095
core,4000,7,2,3.465233
core,4000,7,3,2.792396
core,4000,7,0,3.264750
core,4000,7,6,3.001501
core,4000,7,1,3.176294
core,4000,4,2,7.884308
core,4000,4,0,4.653740
core,4000,4,1,7.444111
core,4000,5,7,3.133417
core,4000,5,4,2.979255
core,4000,5,5,2.429500
core,4000,5,9,2.295205
core,4000,5,8,3.073500
core,4000,5,2,2.595952
core,4000,5,3,2.698651
core,4000,5,0,3.280460
core,4000,5,6,2.672750
core,4000,5,1,3.097226
core,4000,2,7,7.311017
core,4000,2,4,3.262369
core,4000,2,5,8.436064
core,4000,2,2,3.621500
core,4000,2,3,8.253687
core,4000,2,0,5.315421
core,4000,2,6,6.176000
core,4000,2,1,4.388847
core,4000,3,2,7.539365
core,4000,3,0,3.225944
core,4000,3,1,4.944986
core,4000,0,0,5.280680
core,4000,0,1,9.640140
core,4000,6,0,3.324081
core,4000,6,1,2.845500
core,4000,1,2,2.050551
core,4000,1,0,4.029985
core,4000,1,1,3.218641
core,16000,2,7,4.630993
core,16000,2,4,2.117875
core,16000,2,5,2.542438
core,16000,2,2,2.505907
core,16000,2,3,3.805712
core,16000,2,0,3.107701
core,16000,2,6,2.033065
core,16000,2,1,2.791513
core,16000,0,0,3.090693
core,16000,1,2,4.474349
core,16000,1,0,6.117750
core,16000,1,1,5.327647
core,8000,2,7,3.029625
core,8000,2,4,2.659957
core,8000,2,5,2.789072
core,8000,2,9,3.039620
core,8000,2,8,3.143679
core,8000,2,2,2.662248
core,8000,2,3,2.968734
core,8000,2,0,3.247532
core,8000,2,6,2.446388
core,8000,2,1,2.984240
core,8000,3,0,3.073634
core,8000,0,4,5.081834
core,8000,0,2,6.187500
core,8000,0,3,5.126141
core,8000,0,0,7.689500
core,8000,0,1,3.112375
core,8000,1,0,4.988750
core,8000,1,1,4.640000
linear,1000,7,7,0.449102
linear,1000,7,4,0.599799
linear,1000,7,5,0.587413
linear,1000,7,9,0.595787
linear,1000,7,8,1.597598
linear,1000,7,2,0.591409
linear,1000,7,3,1.725275
linear,1000,7,0,0.592000
linear,1000,7,6,0.449550
linear,1000,7,1,0.450549
linear,1000,14,7,1.673347
linear,1000,14,4,1.852000
linear,1000,14,5,1.775551
linear,1000,14,9,2.228000
linear,1000,14,8,1.787425
linear,1000,14,2,1.615230
linear,1000,14,3,1.574148
linear,1000,14,0,1.673347
linear,1000,14,6,2.201000
linear,1000,14,1,1.675351
linear,1000,4,7,1.968907
linear,1000,4,4,1.860861
linear,1000,4,5,2.086000
linear,1000,4,9,1.715000
linear,1000,4,8,1.735000
linear,1000,4,2,1.934935
linear,1000,4,3,1.889890
linear,1000,4,0,1.958000
linear,1000,4,6,1.905906
linear,1000,4,1,1.905906
linear,1000,5,7,1.454545
linear,1000,5,4,2.404595
linear,1000,5,5,1.553554
linear,1000,5,9,1.914915
linear,1000,5,8,1.560000
linear,1000,5,2,1.737738
linear,1000,5,3,1.419741
linear,1000,5,0,1.493014
linear,1000,5,6,1.460539
linear,1000,5,1,1.352056
linear,1000,13,7,3.529058
linear,1000,13,4,3.163000
linear,1000,13,5,3.217000
linear,1000,13,9,2.866000
linear,1000,13,8,1.425000
linear,1000,13,2,2.755000
linear,1000,13,3,3.219561
linear,1000,13,0,2.902196
linear,1000,13,6,1.522000
linear,1000,13,1,3.376376
linear,1000,9,0,1.689000
linear,1000,8,4,3.230000
linear,1000,8,5,1.792000
linear,1000,8,2,1.543000
linear,1000,8,3,5.430430
linear,1000,8,0,1.495992
linear,1000,8,1,1.450549
linear,1000,2,7,7.344622
linear,1000,2,4,3.028913
linear,1000,2,5,3.113886
linear,1000,2,9,1.752248
linear,1000,2,8,6.536145
linear,1000,2,2,5.055944
linear,1000,2,3,9.943170
linear,1000,2,0,7.829000
linear,1000,2,6,4.364000
linear,1000,2,1,8.411234
linear,1000,3,7,3.323676
linear,1000,3,4,2.503504
linear,1000,3,5,2.339339
linear,1000,3,9,2.681407
linear,1000,3,8,3.980020
linear,1000,3,2,2.343313
linear,1000,3,3,2.144433
linear,1000,3,0,2.359640
linear,1000,3,6,1.535394
linear,1000,3,1,2.339000
linear,1000,0,7,0.833665
linear,1000,0,4,0.562000
