benchmark,interval,cluster,cpi,ipc,cputime
spec.x264,2000000,18,0.354766,2.818762,3.55
spec.x264,2000000,19,0.393073,2.544057,3.27
spec.x264,2000000,20,0.480533,2.081023,4.01
spec.x264,2000000,21,0.549105,1.821147,3.76
spec.x264,2000000,22,0.255560,3.912973,3.05
spec.x264,2000000,23,0.340215,2.939314,3.19
spec.x264,4000000,1,0.511552,1.954837,6.59
spec.x264,4000000,2,0.518189,1.929799,6.34
spec.x264,4000000,3,0.443922,2.252647,6.28
spec.x264,4000000,4,0.460850,2.169906,6.06
spec.x264,4000000,5,0.396231,2.523779,5.94
spec.x264,4000000,6,0.322891,3.097025,5.70
spec.x264,4000000,7,0.470833,2.123894,6.24
spec.x264,4000000,8,0.576702,1.733999,6.35
spec.x264,4000000,9,0.456716,2.189543,6.07
spec.x264,4000000,10,0.515012,1.941703,6.55
spec.x264,4000000,11,0.596048,1.677718,5.61
spec.x264,4000000,12,0.470164,2.126917,6.10
spec.x264,4000000,13,0.606669,1.648346,6.20
spec.x264,4000000,14,0.465982,2.146004,6.24
spec.x264,4000000,15,0.452946,2.207768,5.98
spec.x264,4000000,16,0.350291,2.854769,5.78
spec.x264,4000000,17,0.642704,1.555925,5.87
spec.x264,4000000,18,0.351211,2.847287,5.67
spec.x264,4000000,19,0.373338,2.678541,5.11
spec.x264,4000000,20,0.465755,2.147050,6.71
spec.x264,4000000,21,0.488198,2.048351,6.09
spec.x264,4000000,22,0.258585,3.867204,4.82
spec.x264,4000000,23,0.337473,2.963196,4.99
spec.x264,8000000,1,0.466102,2.145453,11.23
spec.x264,8000000,2,0.496262,2.015066,11.81
spec.x264,8000000,3,0.420363,2.378898,10.79
spec.x264,8000000,4,0.454138,2.201975,10.82
spec.x264,8000000,5,0.398150,2.511614,10.83
spec.x264,8000000,6,0.354562,2.820378,10.28
spec.x264,8000000,7,0.455540,2.195198,11.03
spec.x264,8000000,8,0.597300,1.674200,11.59
spec.x264,8000000,9,0.447084,2.236715,10.89
spec.x264,8000000,10,0.484406,2.064382,11.41
spec.x264,8000000,11,0.786696,1.271139,10.97
spec.x264,8000000,12,0.454630,2.199593,10.46
spec.x264,8000000,13,0.508742,1.965633,10.82
spec.x264,8000000,14,0.445926,2.242527,10.90
spec.x264,8000000,15,0.450015,2.222146,10.31
spec.x264,8000000,16,0.351644,2.843788,9.86
spec.x264,8000000,17,0.545928,1.831743,10.48
spec.x264,8000000,18,0.353276,2.830648,10.00
spec.x264,8000000,19,0.363551,2.750644,8.61
spec.x264,8000000,20,0.455424,2.195756,11.83
spec.x264,8000000,21,0.452739,2.208779,10.73
spec.x264,8000000,22,0.294472,3.395911,8.43
spec.x264,8000000,23,0.330102,3.029369,8.96
spec.x264,16000000,1,0.447700,2.233637,20.66
spec.x264,16000000,2,0.468693,2.133593,21.17
spec.x264,16000000,3,0.429258,2.329599,21.37
spec.x264,16000000,4,0.440030,2.272570,20.46
spec.x264,16000000,5,0.398411,2.509969,20.30
spec.x264,16000000,6,0.375272,2.664733,19.18
spec.x264,16000000,7,0.442795,2.258381,20.03
spec.x264,16000000,8,0.606743,1.648144,21.06
spec.x264,16000000,9,0.440591,2.269678,19.37
spec.x264,16000000,10,0.465764,2.147008,20.49
spec.x264,16000000,11,0.534813,1.869814,18.02
spec.x264,16000000,12,0.439387,2.275899,19.18
spec.x264,16000000,13,0.478267,2.090881,19.86
spec.x264,16000000,14,0.438600,2.279981,19.55
spec.x264,16000000,15,0.437978,2.283217,18.80
spec.x264,16000000,16,0.350315,2.854575,18.01
spec.x264,16000000,17,0.490770,2.037614,18.73
spec.x264,16000000,18,0.351779,2.842697,18.58
spec.x264,16000000,19,0.422585,2.366386,16.45
spec.x264,16000000,20,0.455559,2.195107,21.80
spec.x264,16000000,21,0.431992,2.314859,19.81
spec.x264,16000000,22,0.315724,3.167324,16.75
spec.x264,16000000,23,0.339572,2.944886,17.66
