{'application_name': 'simpoint', 'optimization_objectives': ['performance', 'energy'], 'design_of_experiment': {'doe_type': 'random sampling', 'number_of_samples': 500}, 'optimization_iterations': 0, 'evaluations_per_optimization_iteration': 10, 'models': {'model': 'random_forest', 'number_of_trees': 10, 'max_features': 0.5, 'bootstrap': False, 'min_samples_split': 5}, 'input_parameters': {'rob_size': {'parameter_type': 'ordinal', 'values': [16, 32, 64, 128, 256, 512], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'lq_size': {'parameter_type': 'ordinal', 'values': [4, 16, 64, 128, 256], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'sq_size': {'parameter_type': 'ordinal', 'values': [4, 16, 64, 128, 256], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'p_width': {'parameter_type': 'integer', 'values': [4, 12], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'interval': {'parameter_type': 'ordinal', 'values': [16000000], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}}, 'log_file': 'hypermapper_logfile.log', 'verbose_logging': False, 'profiling': False, 'noise': True, 'profiling_file': 'profiles/profile.csv', 'append_profiles': False, 'number_of_cpus': 0, 'max_number_of_predictions': 1000000, 'time_budget': -1, 'number_of_repetitions': 1, 'hypermapper_mode': {'mode': 'default'}, 'output_image': {'output_image_pdf_file': 'output_pareto.pdf', 'image_xlog': False, 'image_ylog': False}, 'feasible_output': {'name': 'Valid', 'true_value': 'True', 'false_value': 'False', 'enable_feasible_predictor': False, 'enable_feasible_predictor_grid_search_on_recall_and_precision': False, 'feasible_predictor_grid_search_validation_file': '/home/lnardi/spatial-lang/results/apps_classification_test_set/BlackScholes.csv'}, 'timestamp': 'Timestamp', 'run_directory': '.', 'output_data_file': 'output_samples.csv', 'output_pareto_file': 'output_pareto.csv', 'acquisition_function': 'EI', 'scalarization_method': 'tchebyshev', 'weight_sampling': 'flat', 'bounding_box_limits': [0, 1], 'optimization_method': 'bayesian_optimization', 'local_search_starting_points': 10, 'local_search_random_points': 10000, 'local_search_evaluation_limit': -1, 'scalarization_key': 'scalarization', 'local_search_scalarization_weights': [1], 'print_parameter_importance': False, 'normalize_inputs': False, 'epsilon_greedy_threshold': 0.1, 'prior_method': 'pibo', 'prior_beta': -1, 'prior_floor': 1e-06, 'model_posterior_weight': 10, 'model_good_quantile': 0.05, 'prior_estimation_file': 'samples.csv', 'prior_estimation_quantile': 0.1, 'estimate_multivariate_priors': False, 'resume_optimization': False, 'resume_optimization_data': 'output_samples.csv', 'bandwidth_parameter': 0, 'bandwidth_n_factor': 100, 'prior_limit_estimation_points': 10000, 'posterior_computation_lower_limit': 1e-08, 'custom_gaussian_prior_means': [0], 'custom_gaussian_prior_stds': [-1], 'acquisition_function_optimizer': 'local_search', 'evolution_population_size': 50, 'evolution_generations': 150, 'mutation_rate': 1, 'evolution_crossover': False, 'regularize_evolution': False, 'batch_size': 2, 'print_best': 'auto', 'print_posterior_best': False, 'cma_es_sigma': 0.2, 'cma_es_starting_points': 1, 'cma_es_random_points': 10000}
Design of experiment phase, number of new doe samples = 500 .......
rob_size,lq_size,sq_size,p_width,interval,performance,energy,Timestamp
64,128,64,4,16000000,0.7425468651541199,7.913211719568752,3366446
512,256,256,10,16000000,0.38896815321873995,5.323330291104852,3366446
16,16,128,4,16000000,1.22793857854292,12.694918400882871,3366446
256,16,64,6,16000000,0.42504987163054,5.055483701614058,3366446
256,256,256,5,16000000,0.45183195427956,5.249914964769271,3366446
128,64,128,6,16000000,0.4437446969322,5.210807850406192,3366446
64,16,16,7,16000000,0.69831829677202,7.939582980844721,3366446
16,64,16,6,16000000,1.2094700282399198,12.99237406088855,3366446
32,64,64,8,16000000,0.8694649765731199,9.908295453334425,3938836
256,256,128,6,16000000,0.42499859465586,5.0850729052110974,3938836
128,128,256,5,16000000,0.45632076206253996,5.243916685846803,3938836
128,16,16,9,16000000,0.40828449564524,5.190875710068576,3938836
16,256,64,10,16000000,1.1846335955087,13.824757802630003,3938836
64,128,128,8,16000000,0.68378132951284,7.993514569647357,3938836
64,16,256,7,16000000,0.69809946587532,7.976128989214789,3938836
16,128,4,11,16000000,1.18556637625388,14.068370836876019,3938836
64,16,4,5,16000000,0.7195158584773,7.8202674799981695,3938836
32,16,4,6,16000000,0.87960992650758,9.594656348099862,3938836
64,64,16,10,16000000,0.67076455800996,8.176698068123368,4507520
16,64,4,6,16000000,1.2099246942716797,12.995215051019327,4507520
32,64,4,11,16000000,0.8646089139097201,10.473777948613419,4507520
64,4,4,10,16000000,0.7023817699388799,8.497363179616293,4507520
32,4,128,4,16000000,0.91001699915504,9.53673593507015,4507520
32,128,4,11,16000000,0.8646089139097201,10.483812505445886,4507520
256,64,256,9,16000000,0.38026278956793996,5.007211701513673,4507520
256,128,16,10,16000000,0.3794532460832,5.106799182064643,4507520
16,64,64,4,16000000,1.22793857854292,12.691046780258928,4507520
16,4,256,9,16000000,1.1929906225370999,13.641716130690577,4507520
32,64,4,9,16000000,0.8689792435044801,10.097893430068094,5076303
128,16,4,8,16000000,0.40000827724433996,5.00646274706225,5076303
128,128,4,4,16000000,0.5620033723107399,6.142403368777791,5076303
32,4,16,9,16000000,0.86869427912238,10.085849483273027,5076303
16,128,16,7,16000000,1.1651201747342002,12.795357935396407,5076303
64,128,4,5,16000000,0.7195158584773,7.836322407326867,5076303
256,64,64,11,16000000,0.39140401550256,5.361846401917576,5076303
256,256,16,10,16000000,0.3794532460832,5.117156903243472,5076303
64,4,16,12,16000000,0.6985587469897799,8.830348933668715,5076303
32,256,64,10,16000000,0.87432837995658,10.40828774616502,5076303
16,128,4,9,16000000,1.19344151870942,13.614265618727991,5651639
16,16,128,7,16000000,1.16505203129156,12.797874039749328,5651639
128,64,256,12,16000000,0.40369377283846,5.571425985284568,5651639
128,256,128,10,16000000,0.40411906187966,5.31540994082782,5651639
32,16,128,8,16000000,0.8694649765731199,9.911673476530122,5651639
16,128,256,5,16000000,1.22404155634666,12.95977200570747,5651639
64,256,4,10,16000000,0.67132240582834,8.20529764451945,5651639
128,256,4,11,16000000,0.40315016978861995,5.421415720571877,5651639
32,16,4,5,16000000,0.89770593795386,9.583961057179573,5651639
256,256,128,8,16000000,0.37965020953497997,4.888550016801064,5651639
256,128,128,11,16000000,0.38208852674908,5.285089979078451,6206496
256,128,128,9,16000000,0.38026278956793996,4.998804252278443,6206496
32,4,16,10,16000000,0.87304979204682,10.344173103635846,6206496
64,128,256,4,16000000,0.7425468651541199,7.944351183829496,6206496
128,64,4,8,16000000,0.40000822752844,5.0112682392876735,6206496
64,4,64,6,16000000,0.72605316048868,8.046748040128143,6206496
16,64,128,10,16000000,1.1846335955087,13.801538990674427,6206496
32,256,256,11,16000000,0.8640217848226799,10.542656237512716,6206496
512,4,16,8,16000000,0.6985918321957599,8.27362052369849,6206496
128,256,128,11,16000000,0.40233856199018,5.427147466500522,6206496
32,64,16,6,16000000,0.8790700758886,9.599262030475693,6771020
16,256,16,11,16000000,1.18513946022,14.090346964948912,6771020
128,16,4,10,16000000,0.40393743706237994,5.275275256509226,6771020
32,128,16,4,16000000,0.8942403868057999,9.376533809998753,6771020
512,256,256,6,16000000,0.42498986596186,5.1535772527600265,6771020
256,128,128,7,16000000,0.37174963789326,4.667260360294328,6771020
64,16,16,12,16000000,0.67075414749628,8.532848127624511,6771020
32,256,128,11,16000000,0.8640217848226799,10.519995946296191,6771020
16,4,16,10,16000000,1.1847765599584599,13.763024301947098,6771020
64,16,256,6,16000000,0.7113571123021198,7.94446933064182,6771020
256,256,128,4,16000000,0.55905346378806,6.178222511042026,7347542
32,16,256,5,16000000,0.8971052321529599,9.625108187457567,7347542
32,64,16,10,16000000,0.8744177222584999,10.369166733492406,7347542
64,16,16,8,16000000,0.6839860695056799,7.961467002729235,7347542
16,64,128,9,16000000,1.1929399165774799,13.625276559239396,7347542
16,16,64,5,16000000,1.22404155634666,12.890379336754588,7347542
512,64,256,6,16000000,0.42498986596186,5.136491842581595,7347542
128,64,256,8,16000000,0.39918130592858,5.032272993506034,7347542
64,128,128,9,16000000,0.683726126396,8.168553569700999,7347542
16,64,128,11,16000000,1.1850744630801997,14.079094987830718,7347542
512,16,256,5,16000000,0.45187018580055993,5.272932269188711,7927178
16,16,16,6,16000000,1.2094700282399198,12.981026602200611,7927178
128,16,16,6,16000000,0.4440301428684,5.1940008946638905,7927178
16,128,16,11,16000000,1.18513946022,14.065302206347145,7927178
64,4,4,4,16000000,0.7661321709808,8.102511331412412,7927178
64,64,256,10,16000000,0.6705329416059601,8.212096404177851,7927178
16,4,4,4,16000000,1.2256369628681598,12.6406483928478,7927178
128,4,4,7,16000000,0.7266591745037799,8.244018010602074,7927178
128,4,64,6,16000000,0.7260534559424201,8.071562646299046,7927178
32,128,16,11,16000000,0.86411191122068,10.480140679860991,7927178
128,128,4,8,16000000,0.40000822752844,5.016907657187699,8493805
64,64,4,12,16000000,0.6713167992937,8.544751454657774,8493805
128,64,128,11,16000000,0.40233856199018,5.410690178666653,8493805
16,256,16,8,16000000,1.1927534331115999,13.369966351836648,8493805
16,16,128,6,16000000,1.20940592172012,13.008515333736772,8493805
32,16,4,10,16000000,0.8715101750742,10.327046046788185,8493805
16,256,256,11,16000000,1.1850744630801997,14.145725521159317,8493805
16,16,16,10,16000000,1.1846947588504,13.763912361888492,8493805
256,64,128,5,16000000,0.45183195427956,5.216947883277048,8493805
32,128,64,12,16000000,0.8513061304020999,10.561975609221482,8493805
64,4,4,7,16000000,0.72667185489794,8.216110341409427,9044069
16,64,16,4,16000000,1.2280259478524598,12.679043321872014,9044069
128,4,256,10,16000000,0.6984562853483399,8.53221122070666,9044069
256,64,64,8,16000000,0.37967718536788,4.86576161302761,9044069
256,16,64,4,16000000,0.5590848245707,6.1426748658167885,9044069
128,128,4,5,16000000,0.45600443376724,5.210446633151559,9044069
128,128,64,8,16000000,0.39918132581497995,5.016253526389037,9044069
32,256,4,7,16000000,0.8843393449907,9.881532478680432,9044069
32,64,4,4,16000000,0.9082562096395399,9.50486862603037,9044069
64,128,128,12,16000000,0.67052276121,8.564214013034915,9044069
256,128,256,8,16000000,0.37965020953497997,4.892016469373788,9591684
